"","month","tag","counter"
"1","Apr"," attention",6
"2","Apr"," bipolar",8
"3","Apr"," brain",17
"4","Apr"," breast",8
"5","Apr"," caffeine",6
"6","Apr"," cancer",22
"7","Apr"," depression",9
"8","Apr"," diabetes",8
"9","Apr"," diet",6
"10","Apr"," disorder",12
"11","Apr"," exercise",7
"12","Apr"," fibromyalgia",7
"13","Apr"," foods",7
"14","Apr"," health",8
"15","Apr"," heart",16
"16","Apr"," kidney",8
"17","Apr"," menopause",11
"18","Apr"," pain",7
"19","Apr"," prostate",9
"20","Apr"," sleep",9
"21","Apr"," stress",7
"22","Apr"," tea",6
"23","Apr"," treating",8
"24","Apr"," zika",16
"25","Aug"," cancer",19
"26","Aug"," condom",7
"27","Aug"," depression",6
"28","Aug"," diabetes",14
"29","Aug"," diet",8
"30","Aug"," disease",7
"31","Aug"," drinking",9
"32","Aug"," drug",7
"33","Aug"," drugs",6
"34","Aug"," eye",8
"35","Aug"," hair",8
"36","Aug"," health",8
"37","Aug"," heart",8
"38","Aug"," how",8
"39","Aug"," is",7
"40","Aug"," lose",6
"41","Aug"," loss",7
"42","Aug"," lung",8
"43","Aug"," men",8
"44","Aug"," pain",19
"45","Aug"," pregnancy",6
"46","Aug"," protein",12
"47","Aug"," questions",8
"48","Aug"," quizzes",7
"49","Aug"," screening",6
"50","Aug"," skin",6
"51","Aug"," sleep",15
"52","Aug"," weight",12
"53","Aug"," women",6
"54","Aug"," zika",10
"55","Jul"," a",6
"56","Jul"," bacon",7
"57","Jul"," beer",9
"58","Jul"," cancer",23
"59","Jul"," cholesterol",7
"60","Jul"," diabetes",9
"61","Jul"," diet",7
"62","Jul"," disease",7
"63","Jul"," eating",7
"64","Jul"," gain",9
"65","Jul"," health",10
"66","Jul"," healthy",6
"67","Jul"," heart",9
"68","Jul"," in",9
"69","Jul"," loss",9
"70","Jul"," low",6
"71","Jul"," men",6
"72","Jul"," mouth",12
"73","Jul"," prostate",8
"74","Jul"," sores",6
"75","Jul"," stem",6
"76","Jul"," test",11
"77","Jul"," weight",18
"78","Jul"," zika",6
"79","Jun"," calories",10
"80","Jun"," disease",6
"81","Jun"," dog",8
"82","Jun"," fiber",6
"83","Jun"," heart",11
"84","Jun"," lead",6
"85","May"," a",24
"86","May"," about",6
"87","May"," are",11
"88","May"," autism",7
"89","May"," baby",8
"90","May"," blood",9
"91","May"," cancer",17
"92","May"," D",8
"93","May"," dementia",8
"94","May"," depression",7
"95","May"," disease",11
"96","May"," eczema",6
"97","May"," have",6
"98","May"," health",14
"99","May"," heart",11
"100","May"," in",13
"101","May"," is",14
"102","May"," kidney",8
"103","May"," lupus",18
"104","May"," mental",16
"105","May"," nails",7
"106","May"," pain",10
"107","May"," people",11
"108","May"," rash",10
"109","May"," service",7
"110","May"," skin",12
"111","May"," that",12
"112","May"," vitamin",8
"113","May"," we",6
"114","May"," with",18
"115","May"," women",6
"116","May"," you",8
"117","May"," zika",7
"118","Nov"," food",7
"119","Nov"," nutrition",8
"120","Nov"," pregnancy",16
"121","Nov"," shingles",8
"122","Nov"," sleep",6
"123","Oct"," after",9
"124","Oct"," back",6
"125","Oct"," diet",6
"126","Oct"," dogs",6
"127","Oct"," flu",6
"128","Oct"," food",7
"129","Oct"," foods",6
"130","Oct"," jaw",9
"131","Oct"," pain",12
"132","Oct"," TMJ",6
"133","Sep"," a",10
"134","Sep"," bacon",6
"135","Sep"," blood",13
"136","Sep"," cancer",18
"137","Sep"," constipation",6
"138","Sep"," D",8
"139","Sep"," diet",8
"140","Sep"," disease",17
"141","Sep"," dog",8
"142","Sep"," exercise",10
"143","Sep"," fat",9
"144","Sep"," foods",7
"145","Sep"," gluten",8
"146","Sep"," hair",10
"147","Sep"," health",9
"148","Sep"," heart",9
"149","Sep"," in",12
"150","Sep"," infection",7
"151","Sep"," kidney",9
"152","Sep"," leprosy",7
"153","Sep"," leukemia",6
"154","Sep"," marijuana",13
"155","Sep"," mouth",12
"156","Sep"," nail",14
"157","Sep"," nails",7
"158","Sep"," oral",6
"159","Sep"," polish",13
"160","Sep"," prostate",8
"161","Sep"," questions",12
"162","Sep"," quizzes",10
"163","Sep"," skin",6
"164","Sep"," sleep",8
"165","Sep"," smoking",8
"166","Sep"," sugar",9
"167","Sep"," training",6
"168","Sep"," treatments",6
"169","Sep"," vitamin",9
